source,target,time,distance
65,31,2140.9,36302.2
65,56,2353.8,38401.9
65,35,599.9,10123.1
65,13,1019.5,21510.4
65,54,337.1,4035.8
65,32,1016.8,22107.7
65,28,1018.2,22100.0
65,21,948.0,19054.7
65,66,1469.4,34777.5
65,68,1413.9,36355.6
65,72,1467.7,36956.7
65,34,1892.0,31584.9
65,3,1723.0,30045.7
65,10,1217.9,18730.4
65,14,1160.9,18154.3
65,29,1122.6,17460.9
65,50,1136.1,17353.4
65,59,1074.8,16905.2
65,42,918.8,15579.8
65,60,948.4,15709.5
65,20,821.7,15202.7
65,6,1422.3,29463.0
65,37,910.2,10362.3
65,74,670.2,6437.0
65,61,647.5,6131.1
65,70,1773.5,29538.1
65,7,847.1,12933.0
65,69,1640.5,38265.9
65,75,1545.2,37518.1
65,8,1930.8,30300.2
65,64,1952.2,30818.6
65,27,1828.0,28469.0
65,1,1758.2,22959.1
65,46,1439.3,20593.7
65,57,1643.0,30622.8
65,18,1765.2,32412.5
65,73,690.1,9020.3
65,19,679.6,8723.5
65,51,620.2,8298.2
65,22,3314.3,45579.4
65,17,1759.2,40863.4
65,44,575.0,8832.4
65,33,476.9,5386.3
65,39,1196.9,21502.3
65,49,1701.7,22177.9
65,23,1529.5,24465.3
65,16,1196.7,22045.8
65,62,1328.7,22965.1
65,63,1299.6,18281.8
65,53,1181.6,21369.6
65,47,1550.6,22596.9
65,11,1508.8,20286.8
65,43,1496.4,20056.1
65,52,962.0,15306.6
65,12,1341.1,18612.9
65,25,1317.1,20186.5
65,24,819.5,17341.4
65,55,913.9,18739.6
65,26,1145.0,16493.7
65,4,1416.6,21589.5
65,15,1036.8,15475.8
65,45,1416.3,35310.2
65,58,708.0,12767.0
65,40,1027.8,15936.7
65,30,1580.2,35598.1
65,5,1086.1,15758.0
65,36,984.6,15530.1
65,67,1724.4,25296.0
65,0,1257.7,22713.0
65,2,1144.8,21164.9
65,38,830.4,13959.2
65,48,888.1,15240.4
65,41,646.5,10849.8
65,9,1712.5,40396.9
65,71,302.2,3041.8
31,65,2182.7,36045.1
31,56,258.3,2424.9
31,35,1861.8,27958.5
31,13,2156.4,45166.9
31,54,2166.8,36435.8
31,32,2176.2,29598.3
31,28,2223.2,47042.2
31,21,2298.8,32545.5
31,66,2009.5,38457.1
31,68,1954.0,40035.1
31,72,2007.8,40636.3
31,34,849.3,8353.4
31,3,1027.6,10382.6
31,10,1844.8,20624.8
31,14,1874.6,21110.4
31,29,1796.4,20481.0
31,50,1714.8,19174.8
31,59,1669.1,18651.3
31,42,1621.0,18607.7
31,60,1655.3,18764.1
31,20,2441.1,53812.8
31,6,2173.2,40959.6
31,37,1721.7,22686.3
31,74,2157.1,27467.4
31,61,2276.5,31004.6
31,70,500.5,7465.4
31,7,2100.6,30768.4
31,69,1840.4,32178.5
31,75,1788.9,31884.1
31,8,771.6,8010.6
31,64,653.7,7010.0
31,27,1022.6,9810.1
31,1,1327.1,14572.7
31,46,1230.4,14268.0
31,57,2367.1,41287.8
31,18,2462.4,42656.3
31,73,1677.6,22805.9
31,19,1777.3,23569.6
31,51,1832.9,24314.5
31,22,3426.5,38676.3
31,17,2071.7,37329.0
31,44,2401.7,41330.4
31,33,2303.6,37884.4
31,39,1232.5,16376.4
31,49,1472.4,19867.2
31,23,1273.9,17800.4
31,16,1171.5,15937.0
31,62,1248.1,17091.4
31,63,1550.8,20100.7
31,53,1242.6,16509.3
31,47,1568.7,20836.3
31,11,1447.6,19632.9
31,43,1399.6,19174.2
31,52,1421.9,19078.3
31,12,1572.2,20717.7
31,25,1744.3,22634.9
31,24,1431.4,19507.0
31,55,1329.2,18247.5
31,26,1586.9,19028.8
31,4,1896.1,25058.3
31,15,1700.8,21733.7
31,45,1920.3,25499.9
31,58,1599.5,20939.0
31,40,1930.0,24058.4
31,30,1934.6,34690.2
31,5,1642.1,19432.6
31,36,1939.5,24860.6
31,67,1670.4,21975.2
31,0,1153.2,14332.4
31,2,1282.5,15501.0
31,38,1511.2,19993.1
31,48,1685.2,19262.6
31,41,1877.1,26130.9
31,9,2025.0,36862.5
31,71,2129.8,35472.9
56,65,2398.2,38144.8
56,31,254.6,2424.9
56,35,2077.3,30058.2
56,13,2183.4,50913.2
56,54,2382.3,38535.5
56,32,2391.7,31698.0
56,28,2250.2,52788.4
56,21,2327.3,53314.2
56,66,2036.5,44203.3
56,68,1981.0,45781.4
56,72,2034.8,46382.5
56,34,1064.8,10453.1
56,3,1089.0,18910.5
56,10,2060.3,22724.6
56,14,2090.1,23210.1
56,29,2011.9,22580.7
56,50,1930.3,21274.5
56,59,1884.6,20751.0
56,42,1836.5,20707.4
56,60,1870.8,20863.8
56,20,2468.1,59559.0
56,6,2200.2,46705.8
56,37,1937.2,24786.0
56,74,2372.6,29567.1
56,61,2492.0,33104.4
56,70,716.0,9565.1
56,7,2316.1,32868.2
56,69,1867.4,37924.8
56,75,1815.9,37630.4
56,8,987.1,10110.3
56,64,869.2,9109.7
56,27,1238.1,11909.8
56,1,1542.6,16672.5
56,46,1445.9,16367.8
56,57,2394.1,47034.0
56,18,2489.4,48402.6
56,73,1893.1,24905.6
56,19,1992.8,25669.3
56,51,2048.4,26414.2
56,22,3453.5,44422.5
56,17,2098.7,43075.2
56,44,2617.2,43430.1
56,33,2519.1,39984.1
56,39,1448.0,18476.2
56,49,1687.9,21966.9
56,23,1489.4,19900.1
56,16,1387.0,18036.8
56,62,1463.6,19191.2
56,63,1766.3,22200.4
56,53,1458.1,18609.0
56,47,1784.2,22936.0
56,11,1663.1,21732.6
56,43,1615.1,21273.9
56,52,1637.4,21178.0
56,12,1787.7,22817.5
56,25,1959.8,24734.7
56,24,1646.9,21606.7
56,55,1544.7,20347.2
56,26,1802.4,21128.5
56,4,2087.3,41763.8
56,15,1916.3,23833.5
56,45,2006.4,45615.7
56,58,1815.0,23038.7
56,40,2145.5,26158.2
56,30,1961.6,40436.5
56,5,1857.6,21532.4
56,36,2155.0,26960.3
56,67,1855.1,31354.3
56,0,1368.7,16432.1
56,2,1498.0,17600.7
56,38,1726.7,22092.8
56,48,1900.7,21362.3
56,41,2092.6,28230.6
56,9,2052.0,42608.7
56,71,2345.3,37572.7
35,65,571.2,10046.4
35,31,1727.3,27423.8
35,56,1940.2,29523.5
35,13,1083.3,26129.2
35,54,555.3,10437.1
35,32,1080.6,26726.5
35,28,1082.0,26718.7
35,21,1011.8,23673.5
35,66,1533.2,39396.3
35,68,1477.7,40974.3
35,72,1531.5,41575.5
35,34,1478.4,22706.5
35,3,1309.4,21167.2
35,10,763.4,9533.7
35,14,706.4,8957.6
35,29,668.1,8264.2
35,50,681.6,8156.7
35,59,620.3,7708.5
35,42,464.3,6383.1
35,60,493.9,6512.8
35,20,885.5,19821.5
35,6,1486.1,34081.8
35,37,529.5,8290.2
35,74,686.0,12050.8
35,61,798.6,12693.1
35,70,1359.9,20659.6
35,7,392.6,3736.3
35,69,1704.3,42884.7
35,75,1609.0,42136.9
35,8,1517.2,21421.8
35,64,1538.6,21940.2
35,27,1414.4,19590.6
35,1,1303.7,13762.5
35,46,984.8,11397.0
35,57,1706.8,35241.6
35,18,1829.0,37031.3
35,73,469.2,8443.9
35,19,511.1,6097.7
35,51,481.6,4919.5
35,22,3378.1,50198.2
35,17,1823.0,45482.2
35,44,790.2,15331.7
35,33,692.1,11885.7
35,39,783.3,12623.9
35,49,1344.0,17612.0
35,23,1115.9,15586.9
35,16,783.1,13167.4
35,62,915.1,14086.7
35,63,1006.5,14178.8
35,53,768.0,12491.2
35,47,1313.0,17263.8
35,11,1195.7,16187.1
35,43,1155.5,15619.6
35,52,604.3,10786.4
35,12,1134.4,15389.4
35,25,1317.4,19229.2
35,24,405.9,8462.9
35,55,500.3,9861.2
35,26,824.4,12631.5
35,4,1416.9,20632.3
35,15,883.2,13441.9
35,45,1432.4,20850.7
35,58,710.0,15735.9
35,40,1028.1,14979.5
35,30,1644.0,40216.9
35,5,860.3,12773.6
35,36,984.9,14572.8
35,67,1484.5,19194.2
35,0,844.1,13834.6
35,2,731.2,12286.5
35,38,654.2,11138.6
35,48,433.6,6043.7
35,41,534.3,5448.0
35,9,1776.3,45015.7
35,71,518.3,9474.2
13,65,987.5,21229.3
13,31,2257.2,46392.2
13,56,2237.6,51311.9
13,35,1059.1,25573.7
13,54,822.8,17564.2
13,32,602.9,6808.6
13,28,375.6,3968.5
13,21,459.2,5384.7
13,66,914.1,17970.5
13,68,858.6,19548.5
13,72,912.4,20149.7
13,34,1938.0,42700.8
13,3,1843.5,41829.9
13,10,1677.1,34181.0
13,14,1620.1,33605.0
13,29,1581.8,32911.5
13,50,1595.3,32804.0
13,59,1534.0,32355.8
13,42,1378.0,31030.4
13,60,1407.6,31160.1
13,20,665.0,12028.7
13,6,746.8,10093.1
13,37,1402.3,32619.2
13,74,1314.0,28545.5
13,61,1160.3,18291.7
13,70,2187.0,28748.1
13,7,1306.3,28383.6
13,69,1085.2,21458.9
13,75,989.9,20711.1
13,8,2076.9,44300.4
13,64,2008.3,43589.7
13,27,2157.1,44422.3
13,1,2146.1,25413.1
13,46,1898.5,36044.3
13,57,1087.7,13815.8
13,18,1140.4,13595.6
13,73,1320.1,28484.0
13,19,1309.6,28187.1
13,51,1250.2,27761.8
13,22,2759.0,28772.4
13,17,1203.9,24056.4
13,44,1168.5,26033.4
13,33,1070.4,22587.3
13,39,1540.2,20142.5
13,49,1427.4,25061.4
13,23,1577.5,26989.7
13,16,1607.5,21258.1
13,62,1506.3,20460.0
13,63,1203.8,17724.3
13,53,1468.2,19636.4
13,47,1278.2,22801.2
13,11,1351.4,23458.1
13,43,1400.5,19493.5
13,52,1152.0,17374.2
13,12,1245.2,18050.3
13,25,1129.9,20917.6
13,24,1278.7,32792.0
13,55,1283.6,18684.5
13,26,1192.2,17086.6
13,4,989.3,19647.9
13,15,969.9,15417.6
13,45,861.0,18503.2
13,58,975.2,15779.8
13,40,913.3,14462.0
13,30,1024.9,18791.1
13,5,1132.7,16574.3
13,36,735.2,12347.1
13,67,1297.2,23335.4
13,0,1668.5,21925.3
13,2,1517.7,21085.0
13,38,1081.5,16742.3
13,48,1347.3,30691.0
13,41,1276.5,30313.4
13,9,1157.2,23589.9
13,71,946.2,20848.5
54,65,312.5,4011.2
54,31,2102.6,36785.9
54,56,2315.5,38885.6
54,35,561.6,10606.8
54,13,882.2,18122.2
54,32,879.5,18719.5
54,28,880.9,18711.8
54,21,810.7,15666.5
54,66,1332.1,31389.4
54,68,1276.6,32967.4
54,72,1330.4,33568.6
54,34,1853.7,32068.6
54,3,1684.7,30529.4
54,10,1179.6,19214.1
54,14,1122.6,18638.1
54,29,1084.3,17944.6
54,50,1097.8,17837.1
54,59,1036.5,17388.9
54,42,880.5,16063.5
54,60,910.1,16193.2
54,20,657.6,8729.0
54,6,1285.0,26074.9
54,37,904.8,17652.3
54,74,629.3,6818.0
54,61,578.8,4450.3
54,70,1735.2,30021.8
54,7,808.8,13416.7
54,69,1503.2,34877.7
54,75,1407.9,34130.0
54,8,1892.5,30784.0
54,64,1913.9,31302.3
54,27,1789.7,28952.7
54,1,1719.9,23442.9
54,46,1401.0,21077.4
54,57,1505.7,27234.6
54,18,1627.9,29024.3
54,73,691.6,9947.9
54,19,681.1,9651.1
54,51,621.7,9225.8
54,22,3177.0,42191.3
54,17,1621.9,37475.3
54,44,600.4,8739.5
54,33,425.6,5099.9
54,39,1158.6,21986.0
54,49,1703.2,23105.5
54,23,1491.2,24949.0
54,16,1158.4,22529.6
54,62,1290.4,23448.9
54,63,1301.1,19209.4
54,53,1143.3,21853.3
54,47,1552.1,23524.5
54,11,1510.3,21214.4
54,43,1497.9,20983.7
54,52,963.5,16234.2
54,12,1342.6,19540.4
54,25,1318.6,21114.1
54,24,781.2,17825.1
54,55,875.6,19223.3
54,26,1146.5,17421.3
54,4,1407.3,33066.8
54,15,1038.3,16403.4
54,45,1279.0,31922.1
54,58,709.5,13694.6
54,40,1029.3,16864.3
54,30,1442.9,32209.9
54,5,1087.6,16685.6
54,36,975.6,22062.4
54,67,1715.2,36754.3
54,0,1219.4,23196.7
54,2,1106.5,21648.6
54,38,831.9,14886.8
54,48,849.8,15724.1
54,41,648.0,11777.4
